code,rating,rating_count
tt5491994,9.4,142934
tt0903747,9.4,1818542
tt0795176,9.4,208268
tt0185906,9.4,460632
tt7366338,9.3,729888
tt0306414,9.3,334335
tt6769208,9.2,40684
tt0417299,9.2,307935
tt2395695,9.2,121174
tt0141842,9.2,387996
tt9253866,9.2,42994
tt0081846,9.2,40958
tt0944947,9.1,2043354
tt2861424,9.1,496567
tt0071075,9.1,25657
tt1355642,9.1,163149
tt8420184,9.0,118894
tt1533395,9.0,40835
tt1475582,9.0,911112
tt0052520,9.0,82539
tt1877514,9.0,24533
tt0103359,9.0,102546
tt12392504,9.0,142181
tt11126994,8.9,194026
tt0296310,8.9,39438
tt2560140,8.9,361067
tt0386676,8.9,574432
tt0303461,8.9,263470
tt1806234,8.9,26289
tt2092588,8.9,30404
tt0877057,8.9,314490
tt0081912,8.9,51432
tt2356777,8.9,560624
tt0098769,8.9,16441
tt2098220,8.9,94944
tt9735318,8.9,21633
tt0098904,8.9,312827
tt7920978,8.9,40706
tt2802850,8.9,368954
tt0092337,8.9,25591
tt10541088,8.9,35052
tt0213338,8.9,117213
tt3032476,8.9,491322
tt2297757,8.8,29209
tt1865718,8.8,104586
tt0108778,8.8,975993
tt7137906,8.8,118749
tt3530232,8.8,88170
tt2571774,8.8,16015
tt4742876,8.8,67043
tt1508238,8.8,12514
tt0063929,8.8,73963
tt0472954,8.8,221963
tt4934214,8.8,12117
tt0081834,8.8,30074
tt0264235,8.8,126978
tt0112130,8.8,84498
tt0072500,8.8,92709
tt0200276,8.8,75137
tt0193676,8.8,141835
tt1831164,8.7,93573
tt0096548,8.7,52717
tt0098936,8.7,195701
tt2085059,8.7,533394
tt2707408,8.7,414842
tt3398228,8.7,151503
tt0353049,8.7,64113
tt7660850,8.7,137778
tt0214341,8.7,129147
tt0121220,8.7,79152
tt0074006,8.7,17521
tt0121955,8.7,365597
tt0384766,8.7,170210
tt2442560,8.7,526330
tt0388629,8.7,120305
tt10986410,8.7,196795
tt0118421,8.7,98800
tt0248654,8.7,134185
tt3718778,8.7,54397
tt9432978,8.7,70736
tt5753856,8.7,369532
tt13675832,8.7,12077
tt8111088,8.7,458908
tt0367279,8.7,302258
tt1910272,8.7,60774
tt4508902,8.7,154877
tt1190634,8.7,461475
tt0096697,8.7,402014
tt0412142,8.7,457185
tt4574334,8.7,1140455
tt0286486,8.7,80411
tt0407362,8.6,164949
tt5687612,8.6,149478
tt10802170,8.6,11443
tt1606375,8.6,204279
tt6741278,8.6,129217
tt0804503,8.6,236392
tt10233448,8.6,35874
tt10530900,8.6,16735
tt1856010,8.6,500153
tt1518542,8.6,16776
tt5788792,8.6,112411
tt11280740,8.6,95303
tt4786824,8.6,196705
tt0092455,8.6,119267
tt12004706,8.6,68456
tt0387764,8.6,59874
tt0758745,8.6,66006
tt0086661,8.6,22222
tt1628033,8.6,118019
tt0318871,8.6,38434
tt5712554,8.6,73759
tt13991232,8.6,61273
tt0459159,8.6,23448
tt2303687,8.6,58074
tt6025022,8.6,16004
tt0348914,8.6,106477
tt0773262,8.6,719723
tt0106179,8.6,222733
tt1266020,8.6,254747
tt4299972,8.6,46091
tt0111958,8.6,40287
tt14392248,8.6,295793
tt0988824,8.6,122051
tt0088484,8.6,46596
tt5555260,8.6,141492
tt1733785,8.6,68490
tt9335498,8.6,96798
tt0994314,8.6,67077
tt3322312,8.6,432213
tt4288182,8.6,70494
tt1486217,8.6,153364
tt0158417,8.6,18444
tt10638036,8.6,48643
tt1795096,8.6,29872
tt9140342,8.6,30931
tt0092324,8.6,44153
tt0094517,8.6,24617
tt0096639,8.6,23189
tt10332508,8.6,13001
tt1641384,8.6,41101
tt2049116,8.6,39332
tt5290382,8.5,279857
tt4236770,8.5,124598
tt0090509,8.5,12209
tt1305826,8.5,93498
tt3398540,8.5,24477
tt0380136,8.5,31762
tt0434706,8.5,29763
tt0096657,8.5,118632
tt9174558,8.5,52519
tt5189670,8.5,95390
tt8595766,8.5,23814
tt5421602,8.5,53888
tt0094525,8.5,45201
tt0268093,8.5,19904
tt1489428,8.5,99662
tt0979432,8.5,188006
tt6763664,8.5,235808
tt0080306,8.5,14817
tt0053488,8.5,33729
tt2244495,8.5,18240
tt10048342,8.5,429362
tt1870479,8.5,115267
tt8289930,8.5,39327
tt0863046,8.5,61037
tt2100976,8.5,40110
tt0088509,8.5,57020
tt0275137,8.5,46372
tt0187664,8.5,54572
tt10850932,8.5,27683
tt0237123,8.5,45577
tt0280249,8.5,59703
tt0314979,8.5,75147
tt0106028,8.5,12801
tt0475784,8.5,495891
tt0417373,8.5,25936
tt13111040,8.5,19909
tt0403778,8.5,14144
tt9544034,8.5,85436
tt7908628,8.5,73130
tt4063800,8.5,11566
tt0487831,8.5,150837
tt0290978,8.5,112113
tt0423731,8.5,48219
tt7562112,8.5,28924
tt1492966,8.5,78772
tt4158110,8.5,382334
tt0129690,8.5,20580
tt0086831,8.5,11537
tt6108262,8.5,11430
tt0163507,8.5,43566
tt1513168,8.5,17787
tt4647692,8.5,22600
tt1586680,8.5,238306
tt1442449,8.5,240476
tt7221388,8.5,169544
tt0278238,8.5,53139
tt12343534,8.5,55917
tt0421357,8.5,70353
tt5288312,8.5,33959
tt1124373,8.5,293783
tt0417349,8.5,32602
tt0118273,8.5,10786
tt1758429,8.5,136976
tt0112159,8.5,68039
tt2575988,8.5,147867
tt1534360,8.5,32558
tt0290988,8.5,43450
tt0436992,8.5,221951
tt0120570,8.5,12263
tt2701582,8.5,26011
tt4082744,8.5,14424
tt0149460,8.5,235156
tt0203082,8.5,14798
tt4093826,8.5,67013
tt5897304,8.5,29625
tt2243973,8.5,252689
tt1439629,8.4,260118
tt4269716,8.4,10159
tt3230854,8.4,150937
tt3526078,8.4,117857
tt4295140,8.4,15501
tt0995832,8.4,53490
tt2401256,8.4,148696
tt1230180,8.4,15152
tt0047708,8.4,17295
tt7472896,8.4,17500
tt1710308,8.4,43968
tt13706018,8.4,18602
tt3920596,8.4,194865
tt2937900,8.4,48531
tt7278862,8.4,14834
tt3895150,8.4,28670
tt2433738,8.4,22241
tt0472027,8.4,33064
tt0262150,8.4,58687
tt0103584,8.4,43101
tt5675620,8.4,230107
tt6958022,8.4,14645
tt1299368,8.4,26638
tt6111552,8.4,12603
tt0421291,8.4,18731
tt10155688,8.4,150273
tt0397150,8.4,18379
tt5249462,8.4,45791
tt0988818,8.4,11231
tt1298820,8.4,11243
tt7259746,8.4,18882
tt0043208,8.4,26629
